MovieID,Release_Date,Title,Cast,Director,Genres,Vote_Average
1,2014-05-27,Edge of Tomorrow,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson",Doug Liman,"Action, Science Fiction",7.616
2,2013-04-10,Oblivion,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",Joseph Kosinski,"Action, Science Fiction, Adventure, Mystery",6.63
3,2011-12-07,Mission: Impossible - Ghost Protocol,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",Brad Bird,"Action, Thriller, Adventure",7.079
4,2015-09-17,Sicario,"Emily Blunt, Benicio del Toro, Josh Brolin, Victor Garber",Denis Villeneuve,"Action, Crime, Thriller",7.393
5,2018-04-03,A Quiet Place,"John Krasinski, Emily Blunt, Millicent Simmonds, Noah Jupe",John Krasinski,"Horror, Drama, Science Fiction",7.396
6,1997-11-18,Titanic,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",James Cameron,"Drama, Romance",7.904
7,2014-10-23,Nightcrawler,"Jake Gyllenhaal, Riz Ahmed, Rene Russo, Bill Paxton",Dan Gilroy,"Crime, Drama, Thriller",7.706
8,2005-11-16,Harry Potter and the Goblet of Fire,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson",Mike Newell,"Adventure, Fantasy",7.813
9,2008-02-08,In Bruges,"Colin Farrell, Brendan Gleeson, Ralph Fiennes, Clémence Poésy",Martin McDonagh,"Comedy, Drama, Crime",7.488
10,1995-09-22,Se7en,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini",David Fincher,"Crime, Mystery, Thriller",8.371
11,1994-09-23,The Shawshank Redemption,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",Frank Darabont,"Drama, Crime",8.705
12,2014-07-25,Lucy,"Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked",Luc Besson,"Action, Science Fiction",6.445
13,2008-10-29,Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",Marc Forster,"Adventure, Action, Thriller, Crime",6.323
14,2021-07-07,Black Widow,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour",Cate Shortland,"Action, Adventure, Science Fiction",7.263
15,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance),"Michael Keaton, Emma Stone, Zach Galifianakis, Edward Norton",Alejandro González Iñárritu,"Drama, Comedy",7.467
16,2019-12-31,The Grudge,"Andrea Riseborough, Demián Bichir, John Cho, Lin Shaye",Nicolas Pesce,"Horror, Mystery",5.5
17,2016-05-25,Warcraft,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",Duncan Jones,"Action, Adventure, Fantasy",6.371
18,2006-11-22,Déjà Vu,"Denzel Washington, Paula Patton, Val Kilmer, Jim Caviezel",Tony Scott,"Action, Thriller, Science Fiction",6.9
19,2004-04-09,Shaun of the Dead,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis",Edgar Wright,"Horror, Comedy",7.541
20,2007-02-14,Hot Fuzz,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",Edgar Wright,"Crime, Action, Comedy",7.552
21,2011-02-14,Paul,"Simon Pegg, Nick Frost, Seth Rogen, Jason Bateman",Greg Mottola,"Adventure, Comedy, Science Fiction",6.712
22,2016-11-10,Arrival,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Denis Villeneuve,"Drama, Science Fiction, Mystery",7.599
23,2013-01-17,Hansel & Gretel: Witch Hunters,"Jeremy Renner, Gemma Arterton, Famke Janssen, Pihla Viitala",Tommy Wirkola,"Fantasy, Horror, Action",6.046
24,2012-08-08,The Bourne Legacy,"Jeremy Renner, Rachel Weisz, Edward Norton, Stacy Keach",Tony Gilroy,"Action, Thriller",6.218
25,2012-04-25,The Avengers,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Joss Whedon,"Science Fiction, Action, Adventure",7.712
26,2018-04-25,Avengers: Infinity War,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",Joe Russo,"Adventure, Action, Science Fiction",8.248
27,2008-04-30,Iron Man,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",Jon Favreau,"Action, Science Fiction, Adventure",7.642
28,2018-06-27,Sicario: Day of the Soldado,"Benicio del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan",Stefano Sollima,"Action, Crime, Thriller",6.911
29,2021-10-21,The French Dispatch,"Benicio del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux",Wes Anderson,"Drama, Comedy",7.065
30,2007-06-13,No Country for Old Men,"Josh Brolin, Javier Bardem, Tommy Lee Jones, Woody Harrelson",Ethan Coen,"Crime, Drama, Thriller",7.936
31,2018-05-10,Deadpool 2,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",David Leitch,"Action, Comedy, Adventure",7.489
32,2013-01-09,Gangster Squad,"Josh Brolin, Ryan Gosling, Sean Penn, Nick Nolte",Ruben Fleischer,"Crime, Drama, Action, Thriller",6.358
33,2012-10-11,Argo,"Ben Affleck, Bryan Cranston, Alan Arkin, Scoot McNairy",Ben Affleck,"Drama, Thriller",7.276
34,2021-05-21,A Quiet Place Part II,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",John Krasinski,"Science Fiction, Thriller, Horror",7.5
35,2017-10-13,Wonderstruck,"Oakes Fegley, Millicent Simmonds, Julianne Moore, Michelle Williams",Todd Haynes,Drama,6.0
36,2017-11-13,Wonder,"Jacob Tremblay, Julia Roberts, Owen Wilson, Izabela Vidovic",Stephen Chbosky,"Drama, Family",8.14
37,2004-03-19,Eternal Sunshine of the Spotless Mind,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo",Michel Gondry,"Science Fiction, Drama, Romance",8.099
38,2008-12-10,The Reader,"Kate Winslet, Ralph Fiennes, David Kross, Lena Olin",Stephen Daldry,"Drama, Romance",7.452
39,1985-07-03,Back to the Future,"Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson",Robert Zemeckis,"Adventure, Comedy, Science Fiction",8.317
40,1989-11-22,Back to the Future Part II,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",Robert Zemeckis,"Adventure, Comedy, Science Fiction",7.759
41,1990-11-30,Misery,"James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen",Rob Reiner,"Drama, Thriller",7.754
42,1993-10-01,M. Butterfly,"Jeremy Irons, John Lone, Barbara Sukowa, Ian Richardson",David Cronenberg,"Romance, Drama",6.6
43,2018-09-28,Venom,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",Ruben Fleischer,"Science Fiction, Action",6.826
44,2020-11-20,Sound of Metal,"Riz Ahmed, Olivia Cooke, Paul Raci, Lauren Ridloff",Darius Marder,"Drama, Music",7.738
45,2015-09-23,The Intern,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm",Nancy Meyers,Comedy,7.203
46,2019-02-01,Velvet Buzzsaw,"Rene Russo, Jake Gyllenhaal, Zawe Ashton, Tom Sturridge",Dan Gilroy,"Thriller, Mystery, Horror",5.359
47,2001-11-16,Harry Potter and the Philosopher's Stone,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",Chris Columbus,"Adventure, Fantasy",7.914
48,2002-11-13,Harry Potter and the Chamber of Secrets,"Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh",Chris Columbus,"Adventure, Fantasy",7.72
49,2004-05-31,Harry Potter and the Prisoner of Azkaban,"Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane",Alfonso Cuarón,"Adventure, Fantasy",8.016
50,2017-03-16,Beauty and the Beast,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad",Bill Condon,"Family, Fantasy, Romance",6.969
51,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes",David Yates,"Fantasy, Adventure",8.099
52,2010-11-17,Harry Potter and the Deathly Hallows: Part 1,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones",David Yates,"Adventure, Fantasy",7.755
53,2014-02-26,The Grand Budapest Hotel,"Ralph Fiennes, F. Murray Abraham, Tony Revolori, Mathieu Amalric",Wes Anderson,"Comedy, Drama",8.051
54,1993-12-15,Schindler's List,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Steven Spielberg,"Drama, History, War",8.567
55,2010-11-12,127 Hours,"James Franco, Amber Tamblyn, Kate Mara, Clémence Poésy",Danny Boyle,"Adventure, Drama, Thriller",7.079
56,2009-08-02,Inglourious Basterds,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",Quentin Tarantino,"Drama, Thriller, War",8.218
57,2013-06-19,World War Z,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",Marc Forster,"Action, Drama, Horror, Science Fiction, Thriller",6.811
58,1999-10-15,Fight Club,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf",David Fincher,Drama,8.441
59,2013-04-18,Iron Man 3,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",Shane Black,"Action, Adventure, Science Fiction",6.927
60,1997-09-12,The Game,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn",David Fincher,"Drama, Thriller, Mystery",7.6
61,2012-08-30,The Possession,"Jeffrey Dean Morgan, Kyra Sedgwick, Natasha Calis, Madison Davenport",Ole Bornedal,"Horror, Thriller, Drama",6.037
62,1995-11-10,Ace Ventura: When Nature Calls,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",Steve Oedekerk,"Crime, Comedy, Adventure",6.314
63,1998-12-25,Patch Adams,"Robin Williams, Monica Potter, Philip Seymour Hoffman, Daniel London",Tom Shadyac,"Comedy, Drama",7.307
64,1990-07-03,Die Hard 2,"Bruce Willis, Bonnie Bedelia, William Sadler, Art Evans",Renny Harlin,"Action, Thriller",6.941
65,2003-11-21,Oldboy,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok",Park Chan-wook,"Drama, Thriller, Mystery, Action",8.262
66,2010-08-12,I Saw the Devil,"Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan, Cheon Ho-jin",Kim Jee-woon,"Thriller, Horror",7.798
67,2020-12-16,Wonder Woman 1984,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",Patty Jenkins,"Action, Adventure, Fantasy",6.453
68,2017-10-12,Geostorm,"Gerard Butler, Alexandra Maria Lara, Jim Sturgess, Abbie Cornish",Dean Devlin,"Action, Science Fiction, Thriller",6.118
69,2018-10-24,Sink or Swim,"Mathieu Amalric, Guillaume Canet, Benoît Poelvoorde, Jean-Hugues Anglade",Gilles Lellouche,"Drama, Comedy",6.918
70,2012-10-24,Skyfall,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",Sam Mendes,"Action, Adventure, Thriller",7.234
71,2006-11-14,Casino Royale,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Martin Campbell,"Adventure, Action, Thriller",7.552
72,2016-09-27,Miss Peregrine's Home for Peculiar Children,"Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",Tim Burton,"Fantasy, Adventure",6.829
73,2019-07-03,Midsommar,"Florence Pugh, Jack Reynor, William Jackson Harper, Will Poulter",Ari Aster,"Horror, Drama, Mystery",7.164
74,2019-12-25,Little Women,"Saoirse Ronan, Florence Pugh, Emma Watson, Eliza Scanlen",Greta Gerwig,"Drama, Romance",7.889
75,1999-04-16,The Mummy,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers,"Adventure, Action, Fantasy",6.921
76,2005-02-08,Constantine,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou",Francis Lawrence,"Fantasy, Action, Horror",7.083
