MovieID,Title,Review
1,消失的情人節,"Neil Simon died and was re-incarnated as Chen Yu-Hsun! (J/K, Yu-Hsun is too old for that.) This is a really adorable, Simon-style romantic comedy with a dash of sci-fi and a sprinkling of magic surrealism. Patty Lee is a hilarious protagonist. It only falls short in some structure issues involving the secondary plots. Neil Simon would not approve."
4,陽光普照,"A long, somewhat complicated, psychological drama of a family in the lower middle class of Taiwan. If any entire family ever needed a therapist, this would be it. This film is put together perfectly."
6,瀑布,"A rather creative, and highly spiritual twist on coming of age films. The 18-year old protagonist has life's hard lesson thrust upon her: Sometimes we create our situation, and sometimes, the Universe throws us what seems to be outrageous fortunes. Regardless of how it happens, we are always exactly where we are supposed to be. Maybe not as accomplished as Spring, Summer, Fall, Winter...Spring, yet, it's very well acted."
7,一路順風,"This documentary begins with archive footage, including Ronald Reagan saying ""there is nothing intelligent, there is nothing adult or sophisticated about taking LSD""; the next 85 minutes are devoted to proving him right.

I doubt that was the filmmakers' intention, nor do I believe they intended to make the most effective anti-drug propaganda film I've ever seen – yet here we are. A list of the people interviewed in the movie includes Matt Besser, Lewis Black, Anthony Bourdain, Deepak Chopra, Rob Corddry, David Cross, Carrie Fisher, Will Forte, Adam Horovitz, David Koechner, Nick Kroll, Thomas Lennon, Natasha Lyonne, Nick Offerman, Haley Joel Osment, Rosie Perez, Andy Richter, ASAP Rocky, Paul Scheer, Adam Scott, Sarah Silverman, Ben Stiller, and Sting.

Now, with the exceptions of Bourdain and Fisher, who are dead, and Stiller and Sting, who are cool in spite of themselves, is this really the sort of company you'd like to be in? Consider this: Offerman says at the beginning that ""drugs can be dangerous but they can also be fun."" He then asks ""Why would a person do something dangerous and funny?"", and hopes the film will answer that question.

But surely he must be talking about other drugs in other films, because these acid-fueled stories are anything but funny, even though – or perhaps because of – they are told by a bunch of self-proclaimed comedians; meanwhile, the only danger inherent to LSD consumption is, as far as I can discern, acting like a complete idiot with a superiority complex based on the illusion of having privileged access to the wisdom of the cosmos.

Not only does any of this make me want to ingest acid, but I also wish none of these people ever had so I wouldn't have to listen to them in the first place. But since listen to them I did, I was able to detect three problems.

1) HaGT:AiP is purely anecdotal, and anecdote is the poorest form of narrative; 2) my drug experiences are only meaningful and interesting to me, and only while I'm high; and 3) to pique and sustain another person's interest, that person has to be at the time, or have been at some point in the past, stoned out of their damn minds.

If this film's audience is sober, they will find the stories told and recreated in it confusing and impossible to grasp; on the other hand, if viewers are required to be under the influence to be entertained, their entertainment will stem from being high as shit and not directly from watching this or any other film.

It may sound counterintuitive, but I think the main reason HaGT:AiP doesn't work is because it's pro-drugs; its message, if it has one, is one of complacency and self-satisfaction. As a result, there's a frustrating lack of the kind of urgency found in Trainspotting, A Scanner Darkly, or even Fear and Loathing in Las Vegas (none of which, by the way, is lacking in the humor department)."
14,恐怖分子,"This is my first foray into the world of Edward Yang and though I cannot claim to have followed all of the plot in this complex drama, it is still an oddly compelling watch. Oddly? Well that's because though the characters appear real enough in a plausible sense, the storyline develops itself and them in a none-too-predictable, not always coherent, fashion. We start with a scene that I suspect would have had the local tourist board in conniptions. A shoot-out between a drug-dealing gang and the police that leaves a body lying in the street. Even trying to move that proves perilous. That peril continues to run throughout the story as we meet a dysfunctionally married couple. He, ""Li"" (Li-Chun Lee) is a writer who's suffering from a fairly terminal block. She ""Zhou"" (Cora Miao) is an aspiring clinician who cannot quite reconcile the significance of his failure with her own need for satisfaction (professionally and emotionally). This relationship continues to serve as a conduit for a rather broad-brush look at urban life in Taiwan that includes just about every aspect of human behaviour including the scene-stealing efforts of brothel-keeper ""Shu An"" (Wang An) who fleeces her clients whilst they are in flagrante delicto and who is, herself, the object of the desire of a photographer who proves to be of some interest to the police. What's curious about this film is that you start off assuming it's all a sort of gangster flick with the locals under the yoke. What it gradually turns into is a story about ""terror"" in it's multiple guises - and the most potent illustrations of that are not necessarily located where we think they ought to be. I reckon this needs a couple of viewings to get the best from it as there's plenty to get your teeth into as these characters develop quite distinctly into people - love them or hate them!"
15,誰先愛上他的,"> ""Do you know that adults are the stupidest creatures on earth? They think they can just make up stories to hide secrets.""

This is the most creative love triangle film I've ever seen (and not just because one corner is gay). The story is told from the point of view of the boy, maybe 10 years old, who is the real victim of the lies that the adults have perpetrated. The fascinating part is that, in the film, the truth is revealed in bits and pieces - in exactly the same way that the boy has learned the truth. The real tear-jerker is when we understand that last bit of backstory at the end of the film.

There is comedy, humanity and pathos. This is a top notch film that had me ruminating on it for days after.

If I have one issue, it's that the banter was too fast for us - we had to stop and rewind quite a few times to read the subtitles. Totally worth it though."
18,一一,"As with any film that's the first in a trilogy, this spends just a little too long setting out who's who but once it does, this develops into an enjoyable fantasy adventure film that brings a wonderfully vibrant myriad of Chinese mythological and human characters to life. Ancient rivalries and battles between humanity, the deities and some marvellously created mystical beasts - especially the dragons - form the basis of the story set some three millennia ago. Personally, I tended to the side of the immortals - and there's even the slightest hint of a bromance for one of them - as the ""Demon Fox"", and the manipulative ""King Zhou"" use mankind's greed, avarice, loyalty and decency to ensure they retain their place at the top of the mountain. The visual effects are usually top drawer and the action scenes avoid the often lazily constructed, repetitive, style of combat scenes. Now the acting isn't the best - indeed there is plenty of woodenness for us to inspect here, and I also found it a bit over-scored, but the richness of the mythology could, a bit like ""Lord of the Rings"", perhaps, provide for more characterful adventures and personality development in the next film. For a part one, though, it's a long, but increasingly quite compelling watch if you like the genre and appreciate the wealth of stories before us. Get comfy though - we're in for a long ride!"
21,變形金剛4：絕跡重生,"Is there any excuse available that will justify spending 2 hours, 45 minutes to watch this film?  Or why I am gifting it three stars?

It was a free rental at Redox.
I normally enjoy Mark Wahlberg movies.
I love Bumblebee.  

Do any of these hold water?

I know one thing that doesn’t hold a lot of water – the story. Does it really matter at this point in the franchise? There are good guy Transformers called Autobots and bad guy Transformers called Decepticons and standing between them are stupid humans that betray their species for profit – normally it’s the U.S. Government. BUT wait – there is one hero that will change all of this and talk Optimus Prime (Autobot Boss Daddy) into fighting one last battle (for the fourth or fifth time – I’ve lost count at this point) while some hot-looking woman runs around explosions in short-shorts.

You now know all you need to know about the entire _Transformer_ franchise.

For this incarnation we trade out Shia LeBeouf for Mark Wahlberg and Courtney Fox for Nicola Pelz. And now for the twist…wait for it… Mark Wahlberg plays Nicola Pelz’s FATHER.  That’s right – the FATHER. Yeah, it totally doesn’t work. At all.

There’s a point in the movie about 90 minutes in where it looks like all the loose ends are going to get tied up and I thought:  You know, that wasn’t so bad. Good action flick, a bit hoaky at points but watchable.

And then the movie keeps going. And going. For another 90 minutes. And you basically watch the movie again except instead of it being in Texas and Chicago, it’s in China and Hong Kong.

It’s too long, too many explosions, too many American flags and Texas flags in the background. This movie desperately needs an editor or it needs to be euthanized. Probably the latter.

John Goodman and Ken Watanabe lend their voices serve as decent comic relief but there’s not a lot that can save this film.  Bumblebee deserved better."
21,變形金剛4：絕跡重生,"I guess even Michael Bay must have realised that by the fourth outing, this franchise needed refreshing. To that end, the previously long-suffering cast have been allowed to hang up their screwdrivers and a new set of characters have been drafted in. They are led by ""Cade"" (an enthusiastic Mark Wahlberg). Now he just happens to buy an old truck and it just happens to turn out to be the long lost ""Optimus Prime"". Of course, there are still agencies hunting for the robots and soon he and daughter ""Tessa"" (Nicola Peltz Beckham) are on the run from a militia controlled by the manipulative industrialist ""Joyce"" (Stanley Tucci). Quite why it needs to take 2¾ hours to get to the standard denouement is anyone's guess. Despite the inclusion of some Tyrannosaur-bots, the film has the same relentless predictability as the ""Autobots"" and ""Decepticons"" (if you can spot the difference) go through the same repetitively staged combat scenes before an ending that relies unduly on human intervention (oh yes, and lots of sentimentality too) before we essentially start back at square one with the usual ""Optimus"" monologue concluding the proceedings. This has the added benefit of a truly terrible performance from the always over-rated Kelsey Grammer who had a few, entirely futile, goes at being a cinema baddie and unlike the other films which had a semblance of internationalism to them, this is now an entirely American affair that just bored me. Surely no more...?"
25,囧男孩,"> We live gloriously, but we won't let the world.

The film was nominated at the 88th American Academy Awards for best animated feature and lost to 'Inside Out', but won one at Annie Awards out of three nominees. Originally from Brasil, a 80 minutes long, I mean short film, excluding the opening and end credits which makes it even shorter. The tale was told with the beautiful visuals and music, without any dialogues to reach the audience making no complication. Because it was not just an entertainer, but a message bearer.

The animation type was simple, yet awesome. All the drawings were done by the director himself. Totally colourful crayons sketches. It was supposed to be a documentary, but later became a feature film. The story about a boy who lives with his parents in the rural growing up loving all the wonders of the nature. He observes the changing world as his father bids a goodbye to him to look for a better job in the city, but never returned. So the curious little kid who loves his father very much takes us an adventure when industrial revolution taking place. The rest of the film tells whether he finds what he's looking for.

There were many animations got released in the same year, but this film got the Oscars nod because of the strong message. Especially in the present world this kind of film brings more awareness to the people. It focused the theme man destroying the beautiful world for the profit and dumping the waste everywhere. I am sure you might have seen several documentary films on this topic, but this one was different which was somewhat close to 'Earth 2100'. Although it talks about the past and present than the distant future.

The pollution was one of the biggest concerns today and nobody cares to curb it. The industrial revolution is not defining our progressive, but threatening to our future generation. Besides the poors are directly affected by the loss of the employment. The human development in on the right direction, but the path we have chosen was not. So by now you know it is not for just the kids. The film offers a lot for adults to learn from it than the children. But surely a film to them both watch together and have a good time.

At one point, for a quick, a few real clips were shown to let us know what the real world looks like after such thing happened as it was shown in the film. I loved the comparison between the city and the rural, from lifestyle, fading culture to everything. The real heartbreaking scene is when the boy revisits his old place to learn it is destroyed. Surely we all have similar kind of experience in our life about the place we had admired some time ago is now completely ruined.

It might have not won the Oscar or not popular as the one won, but definitely not ignorable film. All the other four nominees stood behind creativity and entertainment, but this one was with dual intention and it succeeded. It wins our heart more than any prestigious awards in the world, yet I agree the awards leads to the wider recognisation. So I urge everybody to watch it sooner or later, but never to miss it. It is not your Disney, Pixer or Ghibli films, but surely you would enjoy it. I don't know the director, but I think if he resumes with the same intensity for the future projects, he would definitely become the South American Tomm Moore with his unique animation and storytelling.

8/10"
