排名,書名,作者,出版商,定價,折扣,售價,出版日期
1,ChatGPT 開發手冊 - 用 OpenAI API ‧ LangChain ‧ Embeddings 設計 Plugin、LINE/Discord bot、股票分析與客服自動化助理,施威銘研究室,旗標科技,750,79,593,2023/8/29
2,SRE 實踐與開發平台指南：從團隊協作、原則、架構和趨勢掌握全局，做出精準決策,黃冠元（Rick Hwang） 著,博碩文化,620,78,484,2023/8/1
3,Docker 實戰 6堂課：56個實驗動手做，掌握 Linux 容器核心技術（iThome鐵人賽系列書）【軟精裝】,賴怡玲（小賴）,博碩文化,720,78,562,2023/9/11
4,遊戲設計 X 演算法 X TypeScript：出版社對我說「把祕笈通通交出來!」(iThome鐵人賽系列書)【軟精裝】,小哈片刻(Haska Su),博碩文化,720,78,562,2023/8/25
5,重構的時機與實作｜五行程式碼規則 (Five Lines of Code: How and When to Refactor),Christian Clausen 著 H&C 譯,碁峰資訊,680,79,537,2023/9/4
6,"Pragmatic TDD：以 DDD 寫出鬆散耦合、文件化和高品質的程式碼 (Pragmatic Test-Driven Development in C# and .NET: Write loosely coupled, documented, and high-quality code with DDD using familiar tools and libraries)",Adam Tibi 著 莊志弘(軟體主廚) 譯,博碩文化,720,78,562,2023/9/4
7,圖形演算法｜Apache Spark 與 Neo4j 實務範例 (Graph Algorithms),"Mark Needham, Amy E. Hodler 著 張靜雯 譯",歐萊禮,580,79,458,2019/11/12
8,"精通 API 架構｜設計、營運和發展基於 API 的系統 (Mastering API Architecture: Design, Operate, and Evolve Api-Based Systems)","James Gough , Daniel Bryant , Matthew Auburn 著 黃銘偉 譯",歐萊禮,680,79,537,2023/8/31
9,使用 Redmine 管理企業 MIS 的那些鳥事：提升資安、專案與 IT 管理的 30個錦囊妙計 (iThome鐵人賽系列書)【軟精裝】,羅宇倫(Allan Lo),博碩文化,700,78,546,2023/8/23
10,"Python 大數據專案 X 工程 X 產品 資料工程師的升級攻略, 2/e",林子軒 著,深智數位,780,79,616,2023/8/20
11,你就是不寫測試才會沒時間：Kuma 的單元測試實戰 -- Java篇（iThome鐵人賽系列書）,許煜松（Kuma）,博碩文化,650,78,507,2022/10/28
12,SQL Server 管理實戰 (適用SQL Server 2022/2019),胡百敬、洪玉茹、周妙謙、姚巧玫、林英豪、陳輝瑞,碁峰資訊,800,79,632,2023/8/14
13,軟體測試實務 : 業界成功案例與高效實踐 [ I ],"李信杰 主編；江仁豪, 宋濤, 李佩蓉, 林書緯, 郁家豪, 徐鉦棋, 張仁瀚, 莊碧琪, 彭師孝, 黃冠元, 劉人傑, 劉振三, 蔡孟哲, 盧建成, 蘇哲平, 蘇義傑, 蘭鑫 合著",博碩文化,650,78,507,2023/6/5
